strain1	strain2	angle_difference
140780	140780	0
140780	140861	0.111141494471
140780	140382	0.0553999608125
140780	140380	0.0586202583626
140780	140063	0.0625318515633
140780	140060	0.0423123634694
140780	140389	0.0939002119445
140780	140068	0.101572214631
140780	140593	0.0431348778687
140780	140670	0.12281730973
140780	140674	0.161227286239
140780	140261	0.148731194312
140780	140263	0.0652126105982
140780	140304	0.0616180405085
140780	140817	0.0429710598165
140780	140012	0.0619439069207
140780	140156	0.0319997053012
140780	140660	0.0352506500993
140780	140662	0.0593609507462
140780	140665	0.126699500321
140780	140497	0.159736440401
140780	140065	0.0280878718206
140780	140414	0.116068984618
140780	140099	0.0874950042793
140780	140255	0.0660072040651
140780	140706	0.0761555126944
140780	140259	0.194537840865
140780	140086	0.0796635763599
140780	140095	0.130024462241
140780	140922	0.0827618332314
140780	140801	0.0917529866438
140780	140807	0.0597364742794
140780	140003	0.0813829079504
140780	140005	0.106351063022
140780	140050	0.0688178240799
140780	140009	0.138998727099
140780	140983	0.0434078412154
140780	140324	0.127191685272
140780	140890	0.0958022566681
140780	140322	0.0511690923562
140780	140354	0.0211967840596
140780	140654	0.113377419411
140780	140657	0.108535011854
140780	140957	0.0854510780063
140780	140247	0.0456254061461
140780	140080	0.151960367102
140780	140958	0.133701589105
140780	140710	0.0836477840686
140780	140712	0.0370837584853
140780	140452	0.0938339149768
140780	140707	0.107903643327
140780	140037	0.0570430969803
140780	140030	0.0724534881211
140780	140982	0.103698331446
140780	140880	0.0633616353516
140780	140451	0.0539627873213
140780	140465	0.148659269022
140780	140334	0.0638045788022
140780	140888	0.117752321643
140780	140339	0.0805988766128
140780	140437	0.0918077489297
140780	140547	0.0709007027838
140780	140901	0.0626097324868
140780	140908	0.0707707123918
140780	140311	0.0505663122456
140780	140025	0.0758701018303
140780	140024	0.0289292070556
140780	140536	0.0477674041854
140780	140101	0.103301210712
140780	140834	0.128389214348
140780	140830	0.0575131555516
140780	140343	0.061287462783
140780	140429	0.108349599209
140780	140639	0.0901352281251
140780	140839	0.0607264308575
140780	140853	0.0715100581225
140780	140851	0.114095752479
140780	140966	0.0879899870923
140780	140116	0.0365616098997
140780	140115	0.126403503191
140780	140884	0.0370852257866
140780	140214	0.0867325056543
140780	140740	0.0770404342224
140780	140210	0.056062937865
140780	140054	0.113316963253
140780	140500	0.0838458039772
140780	140502	0.0795725216378
140780	140585	0.0963162045135
140780	140827	0.0974019189764
140780	140244	0.0715138655964
140780	140824	0.0721810691702
140780	140197	0.11169828726
140780	140627	0.0637415693993
140780	140626	0.0890955555966
140780	140193	0.068938962033
140780	140766	0.0954676028858
140780	140190	0.0500977227627
140780	140767	0.0799090498771
140780	140849	0.0505593786447
140780	140848	0.0702592633996
140780	140964	0.0701519137748
140780	140281	0.0439978921619
140780	140695	0.0237279220811
140780	140752	0.0648845163792
140780	140992	0.0513828612778
140780	140511	0.0733034812969
140780	140517	0.0506332196195
140780	140449	0.0491704153451
140780	140619	0.100011732113
140780	140364	0.0695335127145
140780	140610	0.114057386577
140780	140369	0.0868300972243
140780	140447	0.224013121875
140780	140872	0.0507263028145
140780	140970	0.142673839089
140780	140386	0.154324123436
140780	140798	0.0285094495542
140780	140048	0.0654476460001
140780	140607	0.0948320284741
140780	140605	0.21913466263
140780	140472	0.0531435795728
140780	140071	0.048615377214
140780	140072	0.0811475479001
140780	140073	0.0473318162477
140780	140479	0.0933348595923
140780	140763	0.0602457373082
140780	140276	0.0562885725519
140780	140270	0.0236764012391
140780	140628	0.0332106726365
140780	140377	0.0436158736655
140780	140376	0.0486217181992
140780	140278	0.0366464268366
140861	140610	0.0592987697622
140861	140801	0.0998361763735
140861	140849	0.0687480605145
140861	140627	0.0705074520528
140861	140807	0.0971986765985
140861	140281	0.12000747646
140861	140324	0.125089523883
140861	140190	0.139703192508
140861	140992	0.0844342954607
140861	140322	0.12150009817
140861	140536	0.0899093940385
140861	140511	0.141654294515
140861	140517	0.0667949271914
140861	140449	0.0632636646568
140861	140619	0.0580731223691
140861	140957	0.0726369821835
140861	140639	0.0970684578503
140861	140247	0.10136378001
140861	140080	0.0721689113285
140861	140958	0.122024408424
140861	140304	0.145513857884
140861	140086	0.172377486298
140861	140872	0.152847593002
140861	140853	0.043897000449
140861	140851	0.0776970096435
140861	140970	0.162649376519
140861	140848	0.136097001889
140861	140197	0.0791153506914
140861	140861	0
140861	140037	0.106777803019
140861	140156	0.114002219897
140861	140048	0.0632746291845
140861	140607	0.03439889422
140861	140660	0.114112744097
140861	140605	0.110869460224
140861	140451	0.0831651436028
140861	140884	0.0804846429005
140861	140472	0.0673656792755
140861	140888	0.204946926862
140861	140339	0.0519828005293
140861	140095	0.0857613336343
140861	140500	0.179592307785
140861	140479	0.167027651401
140861	140502	0.0319232315287
140861	140763	0.158777658532
140861	140276	0.0707834669688
140861	140099	0.0560383974424
140861	140827	0.0370597501275
140861	140270	0.0955802558231
140861	140437	0.0270680909622
140861	140452	0.0769266771428
140861	140707	0.059201731787
140861	140982	0.0734269739216
140861	140983	0.0908054130093
140861	140193	0.0743868847718
140861	140054	0.212987846464
140861	140278	0.0921280908707
140861	140547	0.0932397610346
140382	140610	0.0791598722123
140382	140261	0.0947793135786
140382	140801	0.0849560554025
140382	140849	0.0329266490316
140382	140627	0.071641877173
140382	140807	0.0337758633556
140382	140382	0
140382	140281	0.0457908279572
140382	140324	0.0858391937004
140382	140190	0.0707582942981
140382	140992	0.0454177867055
140382	140322	0.0545363777318
140382	140536	0.030718844849
140382	140511	0.101040619052
140382	140626	0.0642064071508
140382	140517	0.0294415249289
140382	140449	0.0412223848371
140382	140619	0.0788482981489
140382	140957	0.0471241871588
140382	140263	0.0211029637762
140382	140639	0.0416226756815
140382	140247	0.0291744808787
140382	140080	0.102832722912
140382	140958	0.0926705620137
140382	140304	0.0692028856608
140382	140086	0.0957790718959
140382	140872	0.0827949472373
140382	140071	0.0312679374823
140382	140853	0.0354438637838
140382	140851	0.0587182395856
140382	140970	0.11012217515
140382	140465	0.1073423892
140382	140798	0.0705911845984
140382	140848	0.0592561069884
140382	140197	0.0839241795962
140382	140861	0.0774181093842
140382	140037	0.0482147057962
140382	140156	0.0492201478213
140382	140048	0.0557357379058
140382	140607	0.0570399856676
140382	140660	0.0621387007863
140382	140605	0.181249872328
140382	140451	0.0358219276803
140382	140884	0.0284581249287
140382	140472	0.0282428139905
140382	140072	0.0294748386611
140382	140888	0.130122070444
140382	140339	0.0526867059619
140382	140095	0.114077230366
140382	140500	0.106114138717
140382	140479	0.1425379989
140382	140502	0.0521585842669
140382	140763	0.112352218207
140382	140276	0.0492684526554
140382	140585	0.0473346153124
140382	140099	0.0680293431426
140382	140827	0.0702933672799
140382	140628	0.0495331359896
140382	140270	0.0326921677961
140382	140437	0.063959349301
140382	140452	0.0923585001275
140382	140707	0.0608802651203
140382	140982	0.0653898890452
140382	140983	0.0303103828759
140382	140193	0.0373735578171
140382	140054	0.146981433574
140382	140278	0.0204555733234
140382	140547	0.0276113163813
140380	140610	0.151140082204
140380	140261	0.160492466486
140380	140801	0.143579809402
140380	140849	0.0672253539868
140380	140627	0.0932230672245
140380	140807	0.0468743808443
140380	140382	0.0735958537383
140380	140380	0
140380	140281	0.0391924877036
140380	140324	0.0979937119794
140380	140190	0.0219811871949
140380	140992	0.051878500196
140380	140322	0.0869205234884
140380	140536	0.0468232397797
140380	140511	0.0455084136107
140380	140626	0.0824853696306
140380	140517	0.0697599611784
140380	140449	0.0802142679771
140380	140619	0.101810099046
140380	140957	0.119191655137
140380	140263	0.070076151264
140380	140639	0.0832746667214
140380	140247	0.0740033623348
140380	140080	0.150063813034
140380	140958	0.103405149882
140380	140304	0.0693453729257
140380	140086	0.0706478591135
140380	140872	0.0418127307267
140380	140071	0.0671661663226
140380	140853	0.099164067386
140380	140851	0.118077288712
140380	140970	0.153681514338
140380	140465	0.126321214288
140380	140798	0.0526816871547
140380	140848	0.0711289667026
140380	140197	0.0969180860385
140380	140861	0.13484081168
140380	140037	0.0312875530514
140380	140156	0.0301189755927
140380	140048	0.078924589901
140380	140607	0.105843981697
140380	140660	0.0320815711288
140380	140605	0.244394124716
140380	140451	0.0519795926038
140380	140884	0.0595488745708
140380	140472	0.0683291578379
140380	140072	0.0975250347966
140380	140888	0.0830627492449
140380	140339	0.120030224632
140380	140095	0.178560968155
140380	140500	0.0963733463482
140380	140479	0.138206337557
140380	140502	0.109200817817
140380	140763	0.0725565425563
140380	140276	0.068702513611
140380	140585	0.0934077699866
140380	140099	0.0929032214394
140380	140827	0.108943766275
140380	140628	0.0605664111567
140380	140270	0.0545607611611
140380	140437	0.125276878564
140380	140452	0.101133394992
140380	140707	0.105513851736
140380	140982	0.0911253929138
140380	140983	0.0830436704252
140380	140193	0.0645690265781
140380	140054	0.0807672308739
140380	140278	0.0619938340931
140380	140547	0.0890649964745
140063	140610	0.111019253127
140063	140261	0.112929909759
140063	140801	0.118993838087
140063	140706	0.107058786961
140063	140849	0.0370141179761
140063	140627	0.0779699355654
140063	140807	0.00550347594586
140063	140382	0.0352356092351
140063	140380	0.0487812189694
140063	140063	0
140063	140281	0.0385811284916
140063	140389	0.0389927492594
140063	140324	0.0662773683575
140063	140670	0.132436131022
140063	140190	0.0547906696664
140063	140992	0.0320450401108
140063	140322	0.0762751509399
140063	140536	0.0163462835632
140063	140511	0.0785903631582
140063	140626	0.0503946536614
140063	140517	0.0378166034703
140063	140674	0.112567869957
140063	140449	0.054753307139
140063	140619	0.0721044257032
140063	140957	0.0814904057723
140063	140263	0.0241151523674
140063	140639	0.040802846973
140063	140247	0.0525717538354
140063	140080	0.103990820003
140063	140817	0.0531267854346
140063	140958	0.0712574238572
140063	140304	0.0737000930874
140063	140086	0.0910940686042
140063	140065	0.0475836306653
140063	140872	0.0738690214211
140063	140071	0.0372868813988
140063	140853	0.0600618815296
140063	140851	0.0703387009017
140063	140970	0.127826410606
140063	140465	0.0995450748904
140063	140798	0.071552347364
140063	140848	0.0632053962884
140063	140197	0.0663386064142
140063	140861	0.0941957330506
140063	140259	0.179986474788
140063	140037	0.018178416242
140063	140156	0.0383766623762
140063	140048	0.05440849311
140063	140607	0.0636935054345
140063	140660	0.0485944089602
140063	140605	0.200068569907
140063	140451	0.020223635133
